track,task_id,property,gold,unit,value_transform,old_lower_tolerance,old_upper_tolerance,candidate_lower_tolerance,candidate_upper_tolerance,interval_space,zero_lower_bound,zero_upper_bound,score90_lower_bound,score90_upper_bound,review_status,issue_origin,assessment,required_evidence,sources
property_calculation_basic,property_calculation_basic_001_toluene_aqueous_solvation_free_energy,aqueous_solvation_free_energy,-0.82,kcal/mol,identity,3.0,3.0,0.9870000000000001,0.9870000000000001,x,-1.807,0.16700000000000015,-0.9187,-0.7212999999999999,reference_reconciliation,prior_gold_choice_and_candidate,FreeSolv实验中心与expert gold不同；候选90分误差约0.10–0.15 kcal/mol，不能将默认uncertainty或本轮拟合边界直接作为科学容差。,明确预测实验值还是复现指定方法；温度、标准态和原始gold协议。,R1;R2
property_calculation_basic,property_calculation_basic_002_ethanol_aqueous_solvation_free_energy,aqueous_solvation_free_energy,-5.42,kcal/mol,identity,3.0,3.0,1.5,1.5,x,-6.92,-3.92,-5.57,-5.27,reference_reconciliation,prior_gold_choice_and_candidate,FreeSolv实验中心与expert gold不同；候选90分误差约0.10–0.15 kcal/mol，不能将默认uncertainty或本轮拟合边界直接作为科学容差。,明确预测实验值还是复现指定方法；温度、标准态和原始gold协议。,R1;R2
property_calculation_basic,property_calculation_basic_003_diethyl_ether_aqueous_solvation_free_energy,aqueous_solvation_free_energy,-2.11,kcal/mol,identity,3.0,3.0,1.26,1.26,x,-3.37,-0.8499999999999999,-2.2359999999999998,-1.984,reference_reconciliation,prior_gold_choice_and_candidate,FreeSolv实验中心与expert gold不同；候选90分误差约0.10–0.15 kcal/mol，不能将默认uncertainty或本轮拟合边界直接作为科学容差。,明确预测实验值还是复现指定方法；温度、标准态和原始gold协议。,R1;R2
property_calculation_basic,property_calculation_basic_004_anisole_aqueous_solvation_free_energy,aqueous_solvation_free_energy,-1.98,kcal/mol,identity,3.0,3.0,1.281,1.281,x,-3.261,-0.6990000000000001,-2.1081,-1.8519,reference_reconciliation,prior_gold_choice_and_candidate,FreeSolv实验中心与expert gold不同；候选90分误差约0.10–0.15 kcal/mol，不能将默认uncertainty或本轮拟合边界直接作为科学容差。,明确预测实验值还是复现指定方法；温度、标准态和原始gold协议。,R1;R2
property_calculation_basic,property_calculation_basic_005_nitrobenzene_reduction_potential,first_reduction_potential_vs_sce,-1.24,V,identity,0.6,0.6,0.5688,0.5688,x,-1.8088,-0.6712,-1.29688,-1.18312,independent_calibration,candidate_scale_choice,90分误差约16–57 mV；五题严格程度差异缺少独立校准，当前检索未确认各分子的完整原始CV数据。,逐条CV文献、半波/峰/平衡电位定义、SCE换算、介质、电解质与温度。,LOCAL
property_calculation_basic,property_calculation_basic_006_tetracyanoethylene_reduction_potential,first_reduction_potential_vs_sce,0.21,V,identity,0.6,0.6,0.5472,0.5472,x,-0.33720000000000006,0.7572,0.15527999999999997,0.26472,independent_calibration,candidate_scale_choice,90分误差约16–57 mV；五题严格程度差异缺少独立校准，当前检索未确认各分子的完整原始CV数据。,逐条CV文献、半波/峰/平衡电位定义、SCE换算、介质、电解质与温度。,LOCAL
property_calculation_basic,property_calculation_basic_007_dimethylaniline_oxidation_potential,first_oxidation_potential_vs_sce,0.83,V,identity,0.6,0.6,0.1602,0.1602,x,0.6698,0.9902,0.8139799999999999,0.84602,independent_calibration,candidate_scale_choice,90分误差约16–57 mV；五题严格程度差异缺少独立校准，当前检索未确认各分子的完整原始CV数据。,逐条CV文献、半波/峰/平衡电位定义、SCE换算、介质、电解质与温度。,LOCAL
property_calculation_basic,property_calculation_basic_008_triphenylamine_oxidation_potential,first_oxidation_potential_vs_sce,0.82,V,identity,0.6,0.6,0.3,0.3,x,0.52,1.1199999999999999,0.7899999999999999,0.85,independent_calibration,candidate_scale_choice,90分误差约16–57 mV；五题严格程度差异缺少独立校准，当前检索未确认各分子的完整原始CV数据。,逐条CV文献、半波/峰/平衡电位定义、SCE换算、介质、电解质与温度。,LOCAL
property_calculation_basic,property_calculation_basic_009_thianthrene_oxidation_potential,first_oxidation_potential_vs_sce,1.11,V,identity,0.6,0.6,0.2502,0.2502,x,0.8598000000000001,1.3602,1.08498,1.1350200000000001,independent_calibration,candidate_scale_choice,90分误差约16–57 mV；五题严格程度差异缺少独立校准，当前检索未确认各分子的完整原始CV数据。,逐条CV文献、半波/峰/平衡电位定义、SCE换算、介质、电解质与温度。,LOCAL
property_calculation_basic,property_calculation_basic_010_water_dimer_binding_energy,binding_energy,-4.97,kcal/mol,identity,3.0,3.0,0.5700000000000001,0.5700000000000001,x,-5.54,-4.3999999999999995,-5.027,-4.912999999999999,independent_calibration,candidate_scale_choice,SMILES不唯一固定非共价几何；S22/S66参考收敛误差与允许的预测误差不同，不能直接等同于零分宽度。,对应的分子/复合物几何、参考版本、CP/BSSE、形变和ZPE/热项定义。,R3;R4
property_calculation_basic,property_calculation_basic_011_ammonia_dimer_binding_energy,binding_energy,-2.85,kcal/mol,identity,3.0,3.0,1.089,1.089,x,-3.939,-1.7610000000000001,-2.9589,-2.7411000000000003,independent_calibration,candidate_scale_choice,SMILES不唯一固定非共价几何；S22/S66参考收敛误差与允许的预测误差不同，不能直接等同于零分宽度。,对应的分子/复合物几何、参考版本、CP/BSSE、形变和ZPE/热项定义。,R3;R4
property_calculation_basic,property_calculation_basic_012_benzene_t_dimer_binding_energy,binding_energy,-2.48,kcal/mol,identity,3.0,3.0,1.5,1.5,x,-3.98,-0.98,-2.63,-2.33,independent_calibration,candidate_scale_choice,SMILES不唯一固定非共价几何；S22/S66参考收敛误差与允许的预测误差不同，不能直接等同于零分宽度。,对应的分子/复合物几何、参考版本、CP/BSSE、形变和ZPE/热项定义。,R3;R4
