track,task_id,property,family,gold,unit,value_transform,minimum_value,error_mode,error_parameter,status,original_lower_tolerance,fitted_lower_tolerance,new_lower_tolerance,score_90_lower_error,score_50_lower_error,original_upper_tolerance,fitted_upper_tolerance,new_upper_tolerance,score_90_upper_error,score_50_upper_error
property_calculation_basic,property_calculation_basic_001_toluene_aqueous_solvation_free_energy,aqueous_solvation_free_energy,aqueous_solvation,-0.82,kcal/mol,identity,,absolute,3.0,pending_independent_calibration,3.0,0.9870000000000001,3.0,0.3,1.5,3.0,0.9870000000000001,3.0,0.3,1.5
property_calculation_basic,property_calculation_basic_002_ethanol_aqueous_solvation_free_energy,aqueous_solvation_free_energy,aqueous_solvation,-5.42,kcal/mol,identity,,absolute,3.0,pending_independent_calibration,3.0,1.5,3.0,0.3,1.5,3.0,1.5,3.0,0.3,1.5
property_calculation_basic,property_calculation_basic_003_diethyl_ether_aqueous_solvation_free_energy,aqueous_solvation_free_energy,aqueous_solvation,-2.11,kcal/mol,identity,,absolute,3.0,pending_independent_calibration,3.0,1.26,3.0,0.3,1.5,3.0,1.26,3.0,0.3,1.5
property_calculation_basic,property_calculation_basic_004_anisole_aqueous_solvation_free_energy,aqueous_solvation_free_energy,aqueous_solvation,-1.98,kcal/mol,identity,,absolute,3.0,pending_independent_calibration,3.0,1.281,3.0,0.3,1.5,3.0,1.281,3.0,0.3,1.5
property_calculation_basic,property_calculation_basic_005_nitrobenzene_reduction_potential,first_reduction_potential_vs_sce,redox_potential,-1.24,V,identity,,absolute,0.5,pending_independent_calibration,0.6,0.5688,0.5,0.05,0.25,0.6,0.5688,0.5,0.05,0.25
property_calculation_basic,property_calculation_basic_006_tetracyanoethylene_reduction_potential,first_reduction_potential_vs_sce,redox_potential,0.21,V,identity,,absolute,0.5,pending_independent_calibration,0.6,0.5472,0.5,0.05,0.25,0.6,0.5472,0.5,0.05,0.25
property_calculation_basic,property_calculation_basic_007_dimethylaniline_oxidation_potential,first_oxidation_potential_vs_sce,redox_potential,0.83,V,identity,,absolute,0.5,pending_independent_calibration,0.6,0.1602,0.5,0.05,0.25,0.6,0.1602,0.5,0.05,0.25
property_calculation_basic,property_calculation_basic_008_triphenylamine_oxidation_potential,first_oxidation_potential_vs_sce,redox_potential,0.82,V,identity,,absolute,0.5,pending_independent_calibration,0.6,0.3,0.5,0.05,0.25,0.6,0.3,0.5,0.05,0.25
property_calculation_basic,property_calculation_basic_009_thianthrene_oxidation_potential,first_oxidation_potential_vs_sce,redox_potential,1.11,V,identity,,absolute,0.5,pending_independent_calibration,0.6,0.2502,0.5,0.05,0.25,0.6,0.2502,0.5,0.05,0.25
property_calculation_basic,property_calculation_basic_010_water_dimer_binding_energy,binding_energy,noncovalent_energy,-4.97,kcal/mol,identity,,absolute,1.0,pending_independent_calibration,3.0,0.5700000000000001,1.0,0.1,0.5,3.0,0.5700000000000001,1.0,0.1,0.5
property_calculation_basic,property_calculation_basic_011_ammonia_dimer_binding_energy,binding_energy,noncovalent_energy,-2.85,kcal/mol,identity,,absolute,1.0,pending_independent_calibration,3.0,1.089,1.0,0.1,0.5,3.0,1.089,1.0,0.1,0.5
property_calculation_basic,property_calculation_basic_012_benzene_t_dimer_binding_energy,binding_energy,noncovalent_energy,-2.48,kcal/mol,identity,,absolute,1.0,pending_independent_calibration,3.0,1.5,1.0,0.1,0.5,3.0,1.5,1.0,0.1,0.5
property_calculation_basic,property_calculation_basic_013_adenine_thymine_wc_pair_binding_energy,binding_energy,noncovalent_energy,-16.13,kcal/mol,identity,,absolute,1.0,pending_independent_calibration,3.0,0.339,1.0,0.1,0.5,3.0,0.339,1.0,0.1,0.5
property_calculation_basic,property_calculation_basic_014_water_methanol_complex_binding_energy,binding_energy,noncovalent_energy,-4.89,kcal/mol,identity,,absolute,1.0,pending_independent_calibration,3.0,1.5,1.0,0.1,0.5,3.0,1.5,1.0,0.1,0.5
property_calculation_basic,property_calculation_basic_015_ethene_ethyne_t_complex_binding_energy,binding_energy,noncovalent_energy,-1.33,kcal/mol,identity,,absolute,1.0,pending_independent_calibration,3.0,2.109,1.0,0.1,0.5,3.0,2.109,1.0,0.1,0.5
property_calculation_basic,property_calculation_basic_016_thiophene_polarizability,static_mean_polarizability,polarizability,65.01,a.u.,identity,,relative,0.2,pending_independent_calibration,16.2525,8.12625,13.002,1.3002,6.501,16.2525,8.12625,13.002,1.3002,6.501
property_calculation_basic,property_calculation_basic_017_benzene_polarizability,static_mean_polarizability,polarizability,67.87,a.u.,identity,,relative,0.2,pending_independent_calibration,16.9675,8.907937500000001,13.574,1.3574,6.787,16.9675,8.907937500000001,13.574,1.3574,6.787
property_calculation_basic,property_calculation_basic_018_octatetraene_polarizability,static_mean_polarizability,polarizability,95.51,a.u.,identity,,relative,0.2,pending_independent_calibration,23.8775,6.1842725000000005,19.102,1.9102,9.551,23.8775,6.1842725000000005,19.102,1.9102,9.551
property_calculation_basic,property_calculation_basic_019_dimethyl_sulfoxide_water_dipole_moment,dipole_moment,dipole_moment,5.43,Debye,identity,,relative,0.2,pending_independent_calibration,1.9004999999999999,0.9502499999999999,1.086,0.1086,0.543,1.9004999999999999,0.9502499999999999,1.086,0.1086,0.543
property_calculation_basic,property_calculation_basic_020_cis_dichloroethene_dipole_moment,dipole_moment,dipole_moment,1.88,Debye,identity,,relative,0.2,pending_independent_calibration,0.6579999999999999,0.32899999999999996,0.376,0.0376,0.188,0.6579999999999999,0.32899999999999996,0.376,0.0376,0.188
property_calculation_basic,property_calculation_basic_021_acetonitrile_dipole_moment,dipole_moment,dipole_moment,3.85,Debye,identity,,relative,0.2,pending_independent_calibration,1.3475,0.67375,0.77,0.077,0.385,1.3475,0.67375,0.77,0.077,0.385
property_calculation_basic,property_calculation_basic_022_naphthalene_bridge_bond_order,wiberg_bond_order,wiberg_bond_order,1.2522,dimensionless,identity,,absolute,0.2,pending_independent_calibration,0.25044,0.12522,0.2,0.02,0.1,0.25044,0.12522,0.2,0.02,0.1
property_calculation_basic,property_calculation_basic_023_dimethyl_sulfone_so_bond_order,wiberg_bond_order,wiberg_bond_order,1.6615,dimensionless,identity,,absolute,0.2,pending_independent_calibration,0.33230000000000004,0.16615000000000002,0.2,0.02,0.1,0.33230000000000004,0.16615000000000002,0.2,0.02,0.1
property_calculation_basic,property_calculation_basic_024_methyl_nitrate_no_bond_order,wiberg_bond_order,wiberg_bond_order,0.9292,dimensionless,identity,,absolute,0.2,pending_independent_calibration,0.18584,0.03698216,0.2,0.02,0.1,0.18584,0.03698216,0.2,0.02,0.1
property_calculation_basic,property_calculation_basic_025_phenol_surface_esp_minimum,surface_electrostatic_potential_minimum,surface_esp_minimum,-25.95,kcal/mol,identity,,absolute,5.0,pending_independent_calibration,10.38,6.75738,5.0,0.5,2.5,10.38,6.75738,5.0,0.5,2.5
property_calculation_basic,property_calculation_basic_026_nitrobenzene_vdw_surface_area,van_der_waals_surface_area,surface_area,150.3,angstrom^2,identity,,relative,0.1,pending_independent_calibration,30.060000000000002,12.715380000000001,15.03,1.503,7.515,30.060000000000002,12.715380000000001,15.03,1.503,7.515
property_calculation_basic,property_calculation_basic_027_pyrrole_surface_esp_variance,surface_electrostatic_potential_total_variance,surface_esp_variance,178.25,(kcal/mol)^2,identity,,relative,0.3,pending_independent_calibration,62.387499999999996,53.091762499999994,53.475,5.3475,26.7375,62.387499999999996,53.091762499999994,53.475,5.3475,26.7375
property_calculation_basic,property_calculation_basic_028_urea_crystal_density,crystal_density,density,1.333,g/cm^3,identity,,relative,0.1,pending_independent_calibration,0.2666,0.1333,0.1333,0.01333,0.06665,0.2666,0.1333,0.1333,0.01333,0.06665
property_calculation_basic,property_calculation_basic_029_tnt_crystal_density,crystal_density,density,1.71,g/cm^3,identity,,relative,0.1,pending_independent_calibration,0.342,0.171,0.171,0.0171,0.0855,0.342,0.171,0.171,0.0171,0.0855
property_calculation_basic,property_calculation_basic_030_picric_acid_crystal_density,crystal_density,density,1.831,g/cm^3,identity,,relative,0.1,pending_independent_calibration,0.3662,0.1831,0.1831,0.01831,0.09155,0.3662,0.1831,0.1831,0.01831,0.09155
